name,color,colorHex,surfaceType,roomType,finish,features,line
Clássica - Esmeralda Claro,Esmeralda Claro,#96E9B1,parede,geral,fosco,"antibacteriana, antimofo, baixo odor",Clássica
Rende & Cobre - Fúcsia Sereno,Fúcsia Sereno,#D98CD2,parede,geral,fosco,"alto rendimento, antimofo",Rende & Cobre
Superlavável - Mostarda Frio,Mostarda Frio,#C6AF53,parede,cozinha,semibrilho,"alto rendimento, hidrorrepelente, lavável",Superlavável
Proteção Total - Bronze Pastel,Bronze Pastel,#E0D8D1,parede,área externa,semibrilho,"alto rendimento, antimofo, hidrorrepelente, lavável",Proteção Total
Epóxi - Amarelo Quente,Amarelo Quente,#E2CB36,metal,banheiro,brilhante,"antimofo, lavável, secagem rápida",Epóxi
Multissuperfícies - Vermelho Natural,Vermelho Natural,#D16161,metal,geral,semibrilho,"alto rendimento, interior/exterior",Multissuperfícies
Efeito Cimento Queimado - Dourado Profundo,Dourado Profundo,#C9AC1D,parede,escritório,fosco,,Efeito Cimento Queimado
Toque de Seda - Marrom Intenso,Marrom Intenso,#DF7020,teto,escritório,acetinado,"antimofo, baixo odor",Toque de Seda
Fosco Completo - Ciano Natural,Ciano Natural,#61D1D1,teto,quarto,fosco,"alto rendimento, antimofo",Fosco Completo
Clássica - Aqua Claro,Aqua Claro,#96E9E2,parede,geral,fosco,"alto rendimento, antimofo",Clássica
Rende & Cobre - Turmalina Vibrante,Turmalina Vibrante,#25F48C,parede,geral,fosco,"alto rendimento, antimofo, baixo odor, hidrorrepelente",Rende & Cobre
Superlavável - Fúcsia Intenso,Fúcsia Intenso,#EC13DA,parede,cozinha,semibrilho,"alto rendimento, antibacteriana, hidrorrepelente, lavável",Superlavável
Proteção Total - Verde Suave,Verde Suave,#7ECE7E,exterior,área externa,semibrilho,"alto rendimento, hidrorrepelente, lavável",Proteção Total
Epóxi - Ameixa Escuro,Ameixa Escuro,#931F80,piso,cozinha,brilhante,"hidrorrepelente, lavável, secagem rápida",Epóxi
Multissuperfícies - Fúcsia Profundo,Fúcsia Profundo,#C91DBA,metal,escritório,semibrilho,lavável,Multissuperfícies
Efeito Cimento Queimado - Turmalina Sereno,Turmalina Sereno,#8CD9B3,parede,sala,fosco,"lavável, secagem rápida",Efeito Cimento Queimado
Toque de Seda - Mostarda Sereno,Mostarda Sereno,#D1C594,teto,quarto,acetinado,lavável,Toque de Seda
Fosco Completo - Vermelho Frio,Vermelho Frio,#D14747,teto,quarto,fosco,"antimofo, baixo odor, secagem rápida",Fosco Completo
Clássica - Violeta Vibrante,Violeta Vibrante,#AF25F4,parede,geral,fosco,"alto rendimento, antimofo, baixo odor",Clássica
Rende & Cobre - Ciano Escuro,Ciano Escuro,#1F9393,parede,geral,fosco,"alto rendimento, baixo odor, hidrorrepelente, lavável",Rende & Cobre
Superlavável - Laranja Escuro,Laranja Escuro,#93591F,parede,banheiro,semibrilho,"alto rendimento, antibacteriana, hidrorrepelente, lavável",Superlavável
Proteção Total - Vinho Profundo,Vinho Profundo,#C91D73,parede,área externa,semibrilho,"alto rendimento, hidrorrepelente, lavável",Proteção Total
Epóxi - Turmalina Suave,Turmalina Suave,#7ECEA6,piso,cozinha,brilhante,"lavável, secagem rápida",Epóxi
Multissuperfícies - Roxo Natural,Roxo Natural,#9961D1,madeira,geral,semibrilho,interior/exterior,Multissuperfícies
Efeito Cimento Queimado - Fúcsia Vibrante,Fúcsia Vibrante,#F425E2,piso,escritório,fosco,alto rendimento,Efeito Cimento Queimado
Toque de Seda - Ameixa Natural,Ameixa Natural,#D161BE,parede,sala,acetinado,,Toque de Seda
Fosco Completo - Anil Sereno,Anil Sereno,#8C99D9,parede,geral,fosco,"alto rendimento, baixo odor",Fosco Completo
Clássica - Dourado Sereno,Dourado Sereno,#D9CC8C,parede,geral,fosco,"alto rendimento, baixo odor",Clássica
Rende & Cobre - Vinho Suave,Vinho Suave,#CE7EA6,parede,sala,fosco,"antimofo, baixo odor",Rende & Cobre
Superlavável - Violeta Natural,Violeta Natural,#AC61D1,parede,banheiro,semibrilho,"alto rendimento, hidrorrepelente, interior/exterior, lavável, secagem rápida",Superlavável
Proteção Total - Salmão Profundo,Salmão Profundo,#DD643C,parede,área externa,semibrilho,"alto rendimento, hidrorrepelente, lavável",Proteção Total
Epóxi - Grafite Sereno,Grafite Sereno,#737373,metal,banheiro,brilhante,"lavável, secagem rápida",Epóxi
Multissuperfícies - Verde Profundo,Verde Profundo,#1DC91D,madeira,geral,semibrilho,hidrorrepelente,Multissuperfícies
Efeito Cimento Queimado - Vinho Pastel,Vinho Pastel,#E4CDD9,parede,sala,fosco,,Efeito Cimento Queimado
Toque de Seda - Índigo Suave,Índigo Suave,#7E84CE,parede,escritório,acetinado,antibacteriana,Toque de Seda
Fosco Completo - Bege Sereno,Bege Sereno,#D1BF94,teto,geral,fosco,"alto rendimento, baixo odor, lavável",Fosco Completo
Clássica - Vermelho Escuro,Vermelho Escuro,#931F1F,parede,geral,fosco,"antimofo, baixo odor",Clássica
Rende & Cobre - Marrom Pastel,Marrom Pastel,#E0D7D1,parede,sala,fosco,"alto rendimento, antimofo",Rende & Cobre
Superlavável - Bege Claro,Bege Claro,#E2CD9C,parede,banheiro,semibrilho,"alto rendimento, hidrorrepelente, lavável",Superlavável
Proteção Total - Bege Natural,Bege Natural,#C7AB6B,parede,área externa,semibrilho,"alto rendimento, hidrorrepelente, lavável",Proteção Total
Epóxi - Anil Profundo,Anil Profundo,#1D39C9,piso,banheiro,brilhante,"hidrorrepelente, lavável, secagem rápida",Epóxi
Multissuperfícies - Cobre Sereno,Cobre Sereno,#D1A894,parede,geral,semibrilho,"alto rendimento, secagem rápida",Multissuperfícies
Clássica - Branco Puro,Branco Puro,#FFFFFF,parede,geral,fosco,"alto rendimento, antimofo, baixo odor",Clássica
Superlavável - Branco Claro,Branco Claro,#F8F8F8,parede,cozinha,semibrilho,"alto rendimento, hidrorrepelente, lavável",Superlavável
Fosco Completo - Branco Natural,Branco Natural,#F5F5F5,teto,geral,fosco,"alto rendimento, antimofo, baixo odor",Fosco Completo
Proteção Total - Branco Exterior,Branco Exterior,#FAFAFA,exterior,área externa,semibrilho,"alto rendimento, hidrorrepelente, interior/exterior, lavável",Proteção Total
Toque de Seda - Branco Suave,Branco Suave,#FEFEFE,parede,sala,acetinado,"lavável, baixo odor",Toque de Seda
Epóxi - Branco Brilhante,Branco Brilhante,#FFFFFF,piso,banheiro,brilhante,"hidrorrepelente, lavável, secagem rápida",Epóxi
Multissuperfícies - Branco Profundo,Branco Profundo,#F0F0F0,madeira,geral,semibrilho,"alto rendimento, baixo odor",Multissuperfícies
Efeito Cimento Queimado - Branco Neutro,Branco Neutro,#F7F7F7,parede,escritório,fosco,"lavável, secagem rápida",Efeito Cimento Queimado
Clássica - Preto Puro,Preto Puro,#000000,parede,geral,fosco,"alto rendimento, antimofo, baixo odor",Clássica
Superlavável - Preto Profundo,Preto Profundo,#1A1A1A,parede,cozinha,semibrilho,"alto rendimento, hidrorrepelente, lavável",Superlavável
Fosco Completo - Preto Intenso,Preto Intenso,#0D0D0D,teto,geral,fosco,"alto rendimento, antimofo, baixo odor",Fosco Completo
Proteção Total - Preto Exterior,Preto Exterior,#2A2A2A,exterior,área externa,semibrilho,"alto rendimento, hidrorrepelente, interior/exterior, lavável",Proteção Total
Toque de Seda - Preto Suave,Preto Suave,#333333,parede,sala,acetinado,"lavável, baixo odor",Toque de Seda
Epóxi - Preto Brilhante,Preto Brilhante,#000000,piso,banheiro,brilhante,"hidrorrepelente, lavável, secagem rápida",Epóxi
Multissuperfícies - Preto Natural,Preto Natural,#1F1F1F,madeira,geral,semibrilho,"alto rendimento, baixo odor",Multissuperfícies
Efeito Cimento Queimado - Preto Neutro,Preto Neutro,#262626,parede,escritório,fosco,"lavável, secagem rápida",Efeito Cimento Queimado
